Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Stars,Certificate,Metascore,Gross,Episode,Episode Title,Init,Ongoing
Mulan,"Animation, Adventure, Comedy",7.6,"304,685",87 min,(1998),"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",,G,71        ,304685,0,,1998,No
Pokémon,"Animation, Action, Adventure",7.5,"45,855",24 min,(1997–2023),"Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures.","Veronica Taylor,Rachael Lillis,Eric Stuart,Ikue Ôtani",TV-Y7,,45855,0,,1997,No
Soul,"Animation, Adventure, Comedy",8.0,"355,953",100 min,(2020),"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",,PG,83        ,355953,0,,2020,No
Cowboy Bebop,"Animation, Action, Adventure",8.9,"130,513",24 min,(1998–1999),The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum",TV-14,,130513,0,,1998,No
Toy Story 3,"Animation, Adventure, Comedy",8.3,"868,393",103 min,(2010),"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",,G,92        ,868393,0,,2010,No
Princess Mononoke,"Animation, Action, Adventure",8.3,"414,846",134 min,(1997),"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",,PG-13,76        ,414846,0,,1997,No
Perfect Blue,"Animation, Crime, Drama",8.0,"87,360",81 min,(1997),"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",,R,67        ,87360,0,,1997,No
Tarzan,"Animation, Adventure, Comedy",7.3,"239,057",88 min,(1999),A man raised by gorillas must decide where he really belongs when he discovers he is a human.,,G,79        ,239057,0,,1999,No
Big Hero 6,"Animation, Action, Adventure",7.8,"485,085",102 min,(2014),"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",,PG,74        ,485085,0,,2014,No
Suzume,"Animation, Action, Adventure",7.7,"25,792",122 min,(2022),A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,,PG,77        ,25792,0,,2022,No
Incredibles 2,"Animation, Action, Adventure",7.6,"317,085",118 min,(2018),The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,,PG,80        ,317085,0,,2018,No
Wreck-It Ralph,"Animation, Adventure, Comedy",7.7,"444,285",101 min,(2012),"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",,PG,72        ,444285,0,,2012,No
Brave,"Animation, Action, Adventure",7.1,"429,432",93 min,(2012),"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",,PG,69        ,429432,0,,2012,No
Neon Genesis Evangelion,"Animation, Action, Drama",8.5,"78,730",24 min,(1995–1996),A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer",TV-MA,,78730,0,,1995,No
One Piece Film: Red,"Animation, Action, Adventure",6.7,"15,201",115 min,(2022),"For the first time ever, Uta - the most beloved singer in the world - will reveal herself to the world at a live concert. The voice that the whole world has been waiting for is about to resound.",,PG-13,69        ,15201,0,,2022,No
Lilo & Stitch,"Animation, Adventure, Comedy",7.3,"203,819",85 min,(2002),"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",,PG,74        ,203819,0,,2002,No
Spy x Family,"Animation, Action, Comedy",8.4,"32,062",24 min,(2022– ),"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together.","Noucky Andriansyah,Takuya Eguchi,Atsumi Tanezaki,Megan Shipman",TV-14,,32062,0,,2022,Yes
The Secret Life of Pets,"Animation, Adventure, Comedy",6.5,"211,442",87 min,(2016),"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",,PG,61        ,211442,0,,2016,No
Cars 3,"Animation, Adventure, Comedy",6.7,"113,161",102 min,(2017),Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,,G,59        ,113161,0,,2017,No
Atlantis: The Lost Empire,"Animation, Action, Adventure",6.9,"128,780",95 min,(2001),A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,,PG,52        ,128780,0,,2001,No
Dragon Ball Super,"Animation, Action, Adventure",8.3,"33,539",24 min,(2015–2018),"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.","Masako Nozawa,Naoki Tatsuta,Sean Schemmel,Ryô Horikawa",TV-PG,,33539,0,,2015,No
Cars 2,"Animation, Adventure, Comedy",6.2,"206,725",106 min,(2011),Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,,G,57        ,206725,0,,2011,No
Gintama,"Animation, Action, Comedy",8.7,"13,783",25 min,(2005–2021),"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai",TV-14,,13783,0,,2005,No
Heavenly Delusion,"Animation, Adventure, Mystery",8.0,"3,841",24 min,(2023– ),"A boy grows up behind the safe walls of an apocalyptic Japan full of monsters. Tokyo flourishes as a paradise, while outside the walls of hell dangers lurk. However, a small group searches for heaven.","Nick Martineau,Gen Satô,Sayaka Senbongi,Hibiku Yamamura",TV-MA,,3841,0,,2023,Yes
Tokyo Revengers,"Animation, Action, Drama",7.9,"22,189",24 min,(2021– ),"Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future.","Griffin Puatu,Darren O'Hare,Adam McArthur,Nicolas Roye",TV-14,,22189,0,,2021,Yes
My Neighbor Totoro,"Animation, Comedy, Family",8.1,"360,726",86 min,(1988),"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",,G,86        ,360726,0,,1988,No
